,date,Institution_Total,Foreign_Investor,Investment_Trust,Dealer,Dealer_Hedging,Dealer_self,Foreign_Dealer_Self,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA60,RSI
20110103,20110103,10046815601,10136777902,-274851700,184889399,0,0,0,9039.629883,9041.320313,8994.5,9025.299805,5067400,8912.525781,8877.959863,8809.825439,8475.66084,76.19200197
20110104,20110104,3673252007,2934376614,47529346,691346047,0,0,0,9045.110352,9046.179688,8988.580078,8997.19043,5270400,8933.501953,8900.806934,8824.573438,8489.334684,72.48623344
20110105,20110105,-3221561858,-915444845,-836505624,-1469611389,0,0,0,9014.320313,9027.160156,8812.360352,8846.30957,5796600,8928.611914,8902.658887,8831.669434,8501.936174,56.57908116
20110106,20110106,-2849692219,-1628276352,-1585814458,364398591,0,0,0,8866.230469,8883.209961,8813.629883,8883.209961,4362200,8931.983984,8904.930859,8840.64043,8514.87867,58.95162566
20110107,20110107,-1586422998,1651094945,-315700521,-2921817422,0,0,0,8905.25,8907.110352,8738.929688,8782.719727,4500800,8906.945899,8893.31582,8842.084424,8524.333162,50.80949916
20110110,20110110,1055201409,2686138885,-591301860,-1039635616,0,0,0,8798.049805,8817.879883,8762.5,8817.879883,2885200,8865.461914,8888.993848,8847.036914,8534.54283,53.24283392
20110111,20110111,14511977499,12856371570,101164264,1554441665,0,0,0,8810.769531,8935.269531,8794.769531,8931.360352,3573400,8852.295899,8892.898926,8856.775439,8549.056502,60.10274713
20110112,20110112,8131490780,7075083974,12378542,1044028264,0,0,0,8992.009766,9000.780273,8955.469727,8965,3922200,8876.033985,8902.322949,8868.003955,8564.369336,61.88779363
20110113,20110113,7197939628,9167347042,-210112717,-1759294697,0,0,0,9034.169922,9034.169922,8948.230469,8975.580078,3951000,8894.508008,8913.245996,8878.947461,8578.552002,62.4567262
20110114,20110114,2844741353,4353782279,-984702045,-524338881,0,0,0,8985.339844,8998.139648,8937.5,8972.509766,2756200,8932.466016,8919.705957,8888.462939,8592.573332,62.16670292
20110117,20110117,36817326,2482888481,-1370093814,-1075977341,0,0,0,8998.889648,9006.360352,8921.19043,8925.089844,3579600,8953.908008,8909.684961,8893.822412,8605.190495,57.70948516
20110118,20110118,5288195472,5571525914,-729552848,446222406,0,0,0,8889.839844,9003.450195,8887.030273,8988,3723200,8965.235938,8908.765918,8904.786426,8616.54082,61.63901325
20110119,20110119,10078955024,10759051918,-107434362,-572662532,0,0,0,9023.299805,9092.280273,9005.769531,9086.019531,3935000,8989.439844,8932.736914,8917.6979,8628.920638,66.81317161
20110120,20110120,-396848360,642113474,-885327332,-153634502,0,0,0,9059.799805,9063.519531,9017.799805,9022.169922,3066400,8998.757813,8946.63291,8925.781885,8641.106136,61.03780984
20110121,20110121,-8314484687,-7391942213,-328612638,-593929836,0,0,0,8935.290039,8980.540039,8892.269531,8954.379883,3170400,8995.131836,8963.798926,8928.557373,8651.111637,55.54776352
20110124,20110124,-907469129,272413622,-636911795,-542970956,0,0,0,8983.589844,8993.55957,8927.490234,8947.790039,2580000,8999.671875,8976.789942,8932.891895,8662.123307,55.02959938
